Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Dummy 1,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Dummy 2,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Dummy 3,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill
T059-B02,WT-116:S010,daniel,jason,7,BLK:03 PLN:29 POS:05,MFV 01103,248.80,3/21/2013 14:03,3/21/2013 16:22,2:18:20,,,,,,248.80,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,179,MFV 00609,BLK:03 PLN:29 POS:09,248.80
T059-B02,WT-116:S010,daniel,jason,8,BLK:03 PLN:31 POS:06,MFV 04482,226.90,3/21/2013 14:31,3/21/2013 16:44,2:13:17,,tanker swap,T59-B02,WT-164:S010,22.90,249.80,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,180,MFV 00764,BLK:03 PLN:29 POS:11,249.80
T059-B02,WT-116:S010,daniel,jason,9,BLK:03 PLN:31 POS:08,MFV 00443,233.90,3/21/2013 14:27,3/21/2013 16:44,2:16:44,,tanker swap,T59-B02,WT-164:S010,15.10,249.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,181,MFV 01085,BLK:03 PLN:29 POS:01,249.00
T059-B02,WT-116:S010,daniel,jason,10,BLK:03 PLN:31 POS:10,MFV 04452,240.60,3/21/2013 14:39,3/21/2013 16:44,2:04:53,,tanker swap,T59-B02,WT-164:S010,9.50,250.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,182,MFV 00711,BLK:03 PLN:29 POS:02,250.10
T059-B02,WT-116:S010,daniel,jason,7,BLK:03 PLN:31 POS:04,MFV 04480,17.20,3/21/2013 16:22,3/21/2013 16:44,0:22:40,,tanker swap,T59-B02,WT-164:S010,232.30,249.50,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,183,MFV 01103,BLK:03 PLN:29 POS:05,249.50
T59-B02,WT-164:S010,GALVIN,blackmer,3,BLK:03 PLN:31 POS:00,MFV 04436,250.50,3/21/2013 18:35,3/21/2013 20:53,2:17:33,,,,,,250.50,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,184,MFV 04482,BLK:03 PLN:31 POS:06,250.50
T59-B02,WT-164:S010,GALVIN,blackmer,4,BLK:03 PLN:29 POS:03,MFV 00757,251.70,3/21/2013 19:57,3/21/2013 22:03,2:06:14,,,,,,251.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,185,MFV 00443,BLK:03 PLN:31 POS:08,251.70
T59-B02,WT-164:S010,GALVIN,blackmer,7,BLK:03 PLN:31 POS:05,MFV 03235,254.80,3/21/2013 20:39,3/21/2013 22:27,1:47:05,,,,,,254.80,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,186,MFV 04452,BLK:03 PLN:31 POS:10,254.80
T59-B02,WT-164:S010,GALVIN,blackmer,8,BLK:03 PLN:31 POS:07,MFV 04469,249.50,3/21/2013 18:39,3/21/2013 20:57,2:17:17,,,,,,249.50,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,187,MFV 04480,BLK:03 PLN:31 POS:04,249.50
T59-B02,WT-164:S010,GALVIN,blackmer,9,BLK:03 PLN:31 POS:09,MFV 04448,250.20,3/21/2013 18:34,3/21/2013 20:49,2:14:02,,,,,,250.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,188,MFV 04436,BLK:03 PLN:31 POS:00,250.20
T59-B02,WT-164:S010,GALVIN,blackmer,10,BLK:03 PLN:31 POS:11,MFV 00429,251.70,3/21/2013 18:30,3/21/2013 20:51,2:21:32,,,,,,251.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,189,MFV 00757,BLK:03 PLN:29 POS:03,251.70
T59-B02,WT-164:S010,GALVIN,blackmer,3,BLK:03 PLN:31 POS:01,MFV 04442,249.00,3/21/2013 20:54,3/21/2013 22:47,1:53:26,,,,,,249.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,190,MFV 03235,BLK:03 PLN:31 POS:05,249.00
T59-B02,WT-164:S010,GALVIN,blackmer,4,BLK:03 PLN:31 POS:02,MFV 04406,250.30,3/21/2013 22:06,3/21/2013 23:52,1:46:08,,,,,,250.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,191,MFV 04469,BLK:03 PLN:31 POS:07,250.30
T59-B02,WT-164:S010,GALVIN,blackmer,7,BLK:03 PLN:31 POS:03,MFV 00432,251.50,3/21/2013 22:29,3/22/2013 0:05,1:36:03,,,,,,251.50,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,192,MFV 04448,BLK:03 PLN:31 POS:09,251.50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,48215.90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average,251.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RMS,1.5770855019
