Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Dummy 2,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Dummy 3,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill
T59-B11,WT-168:S031,galvin,tommy,7,BLK:24 PLN:09 POS:02,MFV 00903,252.7,2/6/2014 11:39,2/6/2014 13:53,2:13:52,,,,,252.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,51,MFV 00903,BLK:24 PLN:09 POS:02,252.70
T59-B11,WT-168:S031,galvin,tommy,7,BLK:24 PLN:09 POS:03,MFV 10255,250.2,2/6/2014 13:53,2/6/2014 16:06,2:12:31,,,,,250.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,52,MFV 10255,BLK:24 PLN:09 POS:03,250.20
T59-B11,WT-168:S031,galvin,tommy,8,BLK:24 PLN:09 POS:04,MFV 10232,248.5,2/6/2014 11:45,2/6/2014 14:04,2:18:59,,,,,248.50,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,53,MFV 10232,BLK:24 PLN:09 POS:04,248.50
T59-B11,WT-168:S031,galvin,tommy,8,BLK:24 PLN:09 POS:05,MFV 10274,249.4,2/6/2014 14:05,2/6/2014 16:21,2:16:14,,,,,249.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,54,MFV 10274,BLK:24 PLN:09 POS:05,249.40
T59-B11,WT-168:S031,galvin,tommy,9,BLK:24 PLN:09 POS:06,MFV 10261,251,2/6/2014 13:09,2/6/2014 15:26,2:16:45,,,,,251.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,55,MFV 10261,BLK:24 PLN:09 POS:06,251.00
T59-B11,WT-168:S031,galvin,tommy,9,BLK:24 PLN:09 POS:07,MFV 10293,166,2/6/2014 15:27,2/6/2014 18:56,3:29:45,,T59-B11,WT-116:S057,79.2,245.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,56,MFV 10293,BLK:24 PLN:09 POS:07,245.20
T59-B11,WT-168:S031,galvin,tommy,10,BLK:24 PLN:09 POS:08,MFV 03172,251.1,2/6/2014 12:08,2/6/2014 14:27,2:18:41,,,,,251.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,57,MFV 03172,BLK:24 PLN:09 POS:08,251.10
T59-B11,WT-168:S031,galvin,tommy,10,BLK:24 PLN:09 POS:09,MFV 03145,251.1,2/6/2014 14:27,2/6/2014 16:42,2:15:24,,,,,251.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,58,MFV 03145,BLK:24 PLN:09 POS:09,251.10
T59-B11,WT-168:S031,galvin,tommy,11,BLK:24 PLN:09 POS:10,MFV 03205,252.6,2/6/2014 12:51,2/6/2014 15:07,2:16:23,,,,,252.60,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,59,MFV 03205,BLK:24 PLN:09 POS:10,252.60
T59-B11,WT-168:S031,galvin,tommy,11,BLK:24 PLN:09 POS:11,MFV 10216,211.3,2/6/2014 15:07,2/6/2014 18:54,3:47:00,,T59-B11,WT-116:S057,41.2,252.50,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,60,MFV 10216,BLK:24 PLN:09 POS:11,252.50
T59-B11,WT-116:S057,wood,don,6,BLK:24 PLN:11 POS:00,MFV 10233,249,2/6/2014 19:03,2/6/2014 21:27,2:24:47,,,,,249.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,61,MFV 10233,BLK:24 PLN:11 POS:00,249.00
T59-B11,WT-116:S057,wood,don,6,BLK:24 PLN:11 POS:01,MFV 10258,249.4,2/6/2014 21:28,2/6/2014 23:50,2:22:22,,,,,249.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,62,MFV 10258,BLK:24 PLN:11 POS:01,249.40
