Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Dummy 2,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Dummy 3,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill
T64-B11,WT-169:S054,larry,don,7,BLK:23 PLN:23 POS:06,MFV 10021,250.9,1/28/2014 14:14,1/28/2014 17:23,3:09:00,,,,,250.90,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,140,MFV 10021,BLK:23 PLN:23 POS:06,250.90
T64-B11,WT-164:S052,galvin,tommy,7,BLK:23 PLN:23 POS:07,MFV 09993,247.1,1/28/2014 17:23,1/28/2014 19:36,2:12:44,,,,,247.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,141,MFV 09993,BLK:23 PLN:23 POS:07,247.10
T64-B11,WT-169:S054,larry,don,8,BLK:23 PLN:23 POS:08,MFV 10019,248.1,1/28/2014 14:44,1/28/2014 17:56,3:11:51,,,,,248.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,142,MFV 10019,BLK:23 PLN:23 POS:08,248.10
T64-B11,WT-164:S052,galvin,tommy,8,BLK:23 PLN:23 POS:09,MFV 09924,251.4,1/28/2014 17:56,1/28/2014 20:15,2:18:19,,,,,251.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,143,MFV 09924,BLK:23 PLN:23 POS:09,251.40
T64-B11,WT-169:S054,larry,don,9,BLK:23 PLN:23 POS:10,MFV 10020,247.1,1/28/2014 14:42,1/28/2014 17:58,3:16:00,,,,,247.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,144,MFV 10020,BLK:23 PLN:23 POS:10,247.10
T64-B11,WT-164:S052,galvin,tommy,9,BLK:23 PLN:23 POS:11,MFV 06065,252,1/28/2014 17:58,1/28/2014 20:19,2:20:29,,,,,252.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,145,MFV 06065,BLK:23 PLN:23 POS:11,252.00
T64-B11,WT-164:S052,galvin,tommy,3,BLK:23 PLN:25 POS:00,MFV 03435,248.9,1/28/2014 21:11,1/28/2014 23:32,2:20:33,,,,,248.90,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,146,MFV 03435,BLK:23 PLN:25 POS:00,248.90
T64-B11,WT-164:S052,galvin,tommy,3,BLK:23 PLN:25 POS:01,MFV 09144,146.3,1/28/2014 23:32,1/29/2014 2:06,2:33:42,swap 20min.,T64-B11,WT-163:S056,105,251.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,147,MFV 09144,BLK:23 PLN:25 POS:01,251.30
T64-B11,WT-164:S052,galvin,tommy,5,BLK:23 PLN:25 POS:02,MFV 09154,253.4,1/28/2014 22:15,1/29/2014 0:38,2:23:39,,,,,253.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,148,MFV 09154,BLK:23 PLN:25 POS:02,253.40
T64-B11,WT-164:S052,galvin,tommy,5,BLK:23 PLN:25 POS:03,MFV 09150,25.6,1/29/2014 0:39,1/29/2014 3:11,2:32:38,swap 20min.,T64-B11,WT-163:S056,228.2,253.80,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,149,MFV 09150,BLK:23 PLN:25 POS:03,253.80
