Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Dummy 1,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Dummy 2,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Dummy 3,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill
T64-B01,WT-165:S003,daniel,jason,8,BLK:00 PLN:29 POS:04,MFV 02086,37.00,1/17/13 11:10,1/17/13 13:49,2:39:54,,,T64-B01,WT-116:S003,216.50,253.50,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,173,MFV 01053,BLK:00 PLN:29 POS:00,253.50
T64-B01,WT-116:S003,daniel,jason,8,BLK:00 PLN:29 POS:05,MFV 01119,0.00,1/17/13 13:50,1/17/13 16:19,2:29:35,,,T64-B01,WT-116:S003,252.20,252.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,174,MFV 03491,BLK:00 PLN:29 POS:01,252.20
T64-B01,WT-165:S003,daniel,jason,9,BLK:00 PLN:29 POS:06,MFV 03039,22.00,1/17/13 11:15,1/17/13 13:55,2:40:03,,,T64-B01,WT-116:S003,228.20,250.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,175,MFV 01123,BLK:00 PLN:29 POS:02,250.20
T64-B01,WT-116:S003,daniel,jason,9,BLK:00 PLN:29 POS:07,MFV 01079,0.00,1/17/13 13:56,1/17/13 16:33,2:37:01,,,T64-B01,WT-116:S003,251.10,251.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,176,MFV 02098,BLK:00 PLN:29 POS:03,251.10
T64-B01,WT-165:S003,daniel,jason,10,BLK:00 PLN:29 POS:08,MFV 03029,31.20,1/17/13 11:17,1/17/13 13:57,2:40:39,,,T64-B01,WT-116:S003,219.50,250.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,177,MFV 02086,BLK:00 PLN:29 POS:04,250.70
T64-B01,WT-116:S003,daniel,jason,10,BLK:00 PLN:29 POS:09,MFV 01127,0.00,1/17/13 13:59,1/17/13 16:20,2:21:25,,,T64-B01,WT-116:S003,250.00,250.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,178,MFV 01119,BLK:00 PLN:29 POS:05,250.00
T64-B01,WT-165:S003,daniel,jason,11,BLK:00 PLN:29 POS:10,MFV 01155,27.90,1/17/13 11:19,1/17/13 13:43,2:24:19,,,T64-B01,WT-116:S003,222.70,250.60,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,179,MFV 03039,BLK:00 PLN:29 POS:06,250.60
T64-B01,WT-116:S003,daniel,jason,11,BLK:00 PLN:29 POS:11,MFV 01133,0.00,1/17/13 13:44,1/17/13 16:13,2:29:07,,,T64-B01,WT-116:S003,251.70,251.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,180,MFV 01079,BLK:00 PLN:29 POS:07,251.70
T64-B01,WT-116:S003,daniel,jason,4,BLK:00 PLN:31 POS:00,MFV 02168,0.00,1/17/13 15:44,1/17/13 19:00,3:16:30,,,T64-B01,WT-116:S003,252.50,252.50,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,181,MFV 03029,BLK:00 PLN:29 POS:08,252.50
T64-B01,WT-116:s003,galvin,james,4,BLK:00 PLN:31 POS:01,MFV 03452,249.30,1/17/13 19:01,1/17/13 21:46,2:45:55,,,,,0.00,249.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,182,MFV 01127,BLK:00 PLN:29 POS:09,249.30
T64-B01,WT-116:S003,daniel,jason,7,BLK:00 PLN:31 POS:02,MFV 03627,0.00,1/17/13 15:46,1/17/13 18:57,3:11:13,,,T64-B01,WT-116:S003,250.30,250.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,183,MFV 01155,BLK:00 PLN:29 POS:10,250.30
T64-B01,WT-116:s003,galvin,james,7,BLK:00 PLN:31 POS:03,MFV 03540,250.00,1/17/13 18:58,1/17/13 21:22,2:24:28,,,,,0.00,250.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,184,MFV 01133,BLK:00 PLN:29 POS:11,250.00
T64-B01,WT-116:S003,daniel,jason,8,BLK:00 PLN:31 POS:04,MFV 03587,0.00,1/17/13 16:20,1/17/13 19:49,3:29:50,,,T64-B01,WT-116:S003,250.30,250.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,185,MFV 02168,BLK:00 PLN:31 POS:00,250.30
T64-B01,WT-116:S003,galvin,james,8,BLK:00 PLN:31 POS:05,MFV 03629,250.30,1/17/13 19:50,1/17/13 22:16,2:26:24,,,,,0.00,250.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,186,MFV 03452,BLK:00 PLN:31 POS:01,250.30
T64-B01,WT-116:S003,daniel,jason,9,BLK:00 PLN:31 POS:06,MFV 03504,0.00,1/17/13 16:33,1/17/13 19:53,3:20:33,,,T64-B01,WT-116:S003,248.80,248.80,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,187,MFV 03627,BLK:00 PLN:31 POS:02,248.80
T64-B01,WT-116:S003,galvin,james,9,BLK:00 PLN:31 POS:07,MFV 03434,249.30,1/17/13 19:54,1/17/13 22:34,2:40:08,,,,,0.00,249.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,188,MFV 03540,BLK:00 PLN:31 POS:03,249.30
T64-B01,WT-116:S003,daniel,jason,10,BLK:00 PLN:31 POS:08,MFV 03448,0.00,1/17/13 16:20,1/17/13 19:51,3:31:23,,,T64-B01,WT-116:S003,251.10,251.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,189,MFV 03587,BLK:00 PLN:31 POS:04,251.10
T64-B01,WT-116:S003,galvin,james,10,BLK:00 PLN:31 POS:09,MFV 03592,249.70,1/17/13 19:22,1/17/13 23:14,3:52:20,,,,,0.00,249.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,190,MFV 03629,BLK:00 PLN:31 POS:05,249.70
T64-B01,WT-116:S003,daniel,jason,11,BLK:00 PLN:31 POS:10,MFV 03577,0.00,1/17/13 16:20,1/17/13 19:24,3:04:18,,,T64-B01,WT-116:S003,251.50,251.50,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,191,MFV 03504,BLK:00 PLN:31 POS:06,251.50
T64-B01,WT-116:S003,galvin,james,11,BLK:00 PLN:31 POS:11,MFV 01710,252.50,1/17/13 19:25,1/17/13 22:16,2:51:20,,,,,0.00,252.50,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,192,MFV 03434,BLK:00 PLN:31 POS:07,252.50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,48669.40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average,253.49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RMS,15.020939101
