Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Dummy 1,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Dummy 2,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Dummy 3,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T59-B01,WT-169-S004,galvin,james,10,BLK:01 PLN:01 POS:00,MFV 04082,70.80,2/12/2013 10:49,2/12/2013 14:41,3:51:41,Y,Tanker swap,T59-B01,WT-164-S004,179.40,250.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,1,MFV 04082,BLK:01 PLN:01 POS:00,250.20
T59-B01,WT-169-S004,galvin,james,9,BLK:01 PLN:01 POS:02,MFV 01394,89.60,2/12/2013 10:51,2/12/2013 14:21,3:29:40,Y,Tanker swap,T59-B01,WT-164-S004,162.70,252.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,2,MFV 01394,BLK:01 PLN:01 POS:02,252.30
T59-B01,WT-169-S004,galvin,james,8,BLK:01 PLN:01 POS:04,MFV 01391,78.20,2/12/2013 10:53,2/12/2013 14:21,3:28:37,Y,Tanker swap,T59-B01,WT-164-S004,172.50,250.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,3,MFV 01391,BLK:01 PLN:01 POS:04,250.70
T59-B01,WT-169-S004,galvin,james,7,BLK:01 PLN:01 POS:06,MFV 04019,71.90,2/12/2013 10:53,2/12/2013 14:38,3:44:44,Y,Tanker swap,T59-B01,WT-164-S004,179.20,251.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,4,MFV 04019,BLK:01 PLN:01 POS:06,251.10
T59-B01,WT-169-S004,galvin,james,3,BLK:01 PLN:01 POS:08,MFV 00218,74.60,2/12/2013 10:55,2/12/2013 14:33,3:38:09,Y,Tanker swap,T59-B01,WT-164-S004,176.20,250.80,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,5,MFV 00218,BLK:01 PLN:01 POS:08,250.80
T59-B01,WT-169-S004,galvin,james,2,BLK:01 PLN:01 POS:10,MFV 03200,77.80,2/12/2013 10:55,2/12/2013 14:29,3:33:48,Y,Tanker swap,T59-B01,WT-164-S004,173.80,251.60,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,6,MFV 03200,BLK:01 PLN:01 POS:10,251.60
