Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Dummy 2,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Dummy 3,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill
T64-B10,WT-164:S049,galvin,Jim,8,BLK:21 PLN:01 POS:09,MFV 04312,247.3,12/9/2013 16:06,12/9/2013 18:42,2:36:14,,,,,247.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,10,MFV 04312,BLK:21 PLN:01 POS:09,247.30
T64-B10,WT-163:SO51,galvin,Jim,9,BLK:21 PLN:01 POS:10,MFV 00194,38.3,12/9/2013 13:06,12/9/2013 16:04,2:57:16,swap,T64-B10,WT-164:S049,214.7,253.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,11,MFV 00194,BLK:21 PLN:01 POS:10,253.00
T64-B10,WT-164:S049,galvin,Jim,9,BLK:21 PLN:01 POS:11,MFV 09708,252,12/9/2013 16:04,12/9/2013 18:41,2:36:38,,,,,252.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,12,MFV 09708,BLK:21 PLN:01 POS:11,252.00
T64-B10,WT-164:S049,james,don,1,BLK:21 PLN:03 POS:00,MFV 09731,248.6,12/9/2013 19:01,12/9/2013 21:20,2:18:35,,,,,248.60,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,13,MFV 09731,BLK:21 PLN:03 POS:00,248.60
T64-B10,WT-164:S049,james,don,1,BLK:21 PLN:03 POS:01,MFV 09715,248.6,12/9/2013 21:20,12/9/2013 23:51,2:31:32,,,,,248.60,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,14,MFV 09715,BLK:21 PLN:03 POS:01,248.60
T64-B10,WT-164:S049,james,don,2,BLK:21 PLN:03 POS:02,MFV 09647,249.5,12/9/2013 18:44,12/9/2013 21:00,2:16:02,,,,,249.50,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,15,MFV 09647,BLK:21 PLN:03 POS:02,249.50
T64-B10,WT-164:S049,james,don,2,BLK:21 PLN:03 POS:03,MFV 09750,248.6,12/9/2013 21:00,12/9/2013 23:17,2:16:35,,,,,248.60,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,16,MFV 09750,BLK:21 PLN:03 POS:03,248.60
T64-B10,WT-164:S049,james,don,3,BLK:21 PLN:03 POS:04,MFV 05626,249,12/9/2013 18:56,12/9/2013 21:17,2:20:41,,,,,249.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,17,MFV 05626,BLK:21 PLN:03 POS:04,249.00
T64-B10,WT-164:S049,james,don,3,BLK:21 PLN:03 POS:05,MFV 09727,248.2,12/9/2013 21:17,12/9/2013 23:37,2:19:39,,,,,248.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,18,MFV 09727,BLK:21 PLN:03 POS:05,248.20
T64-B10,WT-164:S049,james,don,7,BLK:21 PLN:03 POS:06,MFV 09748,247.7,12/9/2013 18:30,12/9/2013 20:44,2:14:00,,,,,247.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,19,MFV 09748,BLK:21 PLN:03 POS:06,247.70
