Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Dummy 1,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Dummy 2,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Dummy 3,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,
T59-B01,WT-166:S006,galvin,james,11,BLK:02 PLN:02 POS:00,MFV 01700,251.60,2/21/2013 11:58,2/21/2013 14:21,2:23:08,,,,,0.00,251.60,T64-B02,WT-165:S007,galvin,james,1,BLK:02 PLN:02 POS:00,MFV 01700,3.2,3/8/2013 1:43,3/8/2013 1:49,0:06:05,,,,,,3.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,7,MFV 01700,BLK:02 PLN:02 POS:00,254.80,
T59-B01,WT-166:S006,galvin,james,1,BLK:02 PLN:30 POS:00,MFV 01398,249.80,2/21/2013 11:59,2/21/2013 14:28,2:29:11,,,,,0.00,249.80,T64-B02,WT-165:S007,galvin,james,8,BLK:02 PLN:30 POS:00,MFV 01398,1.6,3/8/2013 2:12,3/8/2013 2:15,0:03:15,,,,,,1.60,T64-B13,WT163:S066,Larry,Brent,4,BLK:02 PLN:30 POS:00,MFV 01398,2.1,5/22/2014 15:04,5/22/2014 15:15,0:10:42,,"1""",,,0.00,2.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,8,MFV 01398,BLK:02 PLN:30 POS:00,253.50,
T59-B01,WT-166:S006,galvin,james,8,BLK:02 PLN:12 POS:00,MFV 03709,248.90,2/21/2013 13:12,2/21/2013 15:09,1:57:38,,,,,0.00,248.90,T64-B02,WT-165:S007,galvin,james,1,BLK:02 PLN:12 POS:00,MFV 03709,2.1,3/8/2013 2:03,3/8/2013 2:07,0:04:25,,,,,,2.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,9,MFV 03709,BLK:02 PLN:12 POS:00,251.00,
T59-B01,WT-166:S006,galvin,james,7,BLK:02 PLN:16 POS:00,MFV 00729,251.80,2/21/2013 13:21,2/21/2013 15:19,1:57:38,,,,,0.00,251.80,T64-B02,WT-165:S007,galvin,james,8,BLK:02 PLN:16 POS:00,MFV 00729,1.4,3/8/2013 1:41,3/8/2013 1:44,0:03:23,,,,,,1.40,T64-B13,WT163:S066,Larry,Brent,9,BLK:02 PLN:16 POS:00,MFV 00729,0.8,5/22/2014 14:47,5/22/2014 14:52,0:04:54,,"7/8""",,,0.00,0.80,,,,,,,,0.00,,,,,,,,0.00,0.00,,10,MFV 00729,BLK:02 PLN:16 POS:00,254.00,
T59-B01,WT-166:S006,galvin,james,9,BLK:02 PLN:08 POS:00,MFV 01693,250.90,2/21/2013 13:24,2/21/2013 15:20,1:56:14,,,,,0.00,250.90,T64-B02,WT-165:S007,galvin,james,1,BLK:02 PLN:08 POS:00,MFV 01693,1.2,3/8/2013 1:55,3/8/2013 1:57,0:02:39,,,,,,1.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,11,MFV 01693,BLK:02 PLN:08 POS:00,252.10,
T59-B01,WT-166:S006,galvin,james,4,BLK:02 PLN:20 POS:00,MFV 00868,249.90,2/21/2013 13:38,2/21/2013 15:27,1:49:24,,,,,0.00,249.90,T64-B02,WT-165:S007,galvin,james,8,BLK:02 PLN:20 POS:00,MFV 00868,3.6,3/8/2013 1:50,3/8/2013 1:52,0:02:01,,,,,,3.60,T64-B13,WT163:S066,Larry,Brent,9,BLK:02 PLN:20 POS:00,MFV 00868,3.1,5/22/2014 15:06,5/22/2014 15:23,0:16:29,,"1""",,,0.00,3.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,12,MFV 00868,BLK:02 PLN:20 POS:00,256.60,
T59-B01,WT-166:S006,galvin,james,10,BLK:02 PLN:04 POS:00,MFV 00775,250.00,2/21/2013 13:39,2/21/2013 15:21,1:42:21,,,,,0.00,250.00,T64-B02,WT-165:S007,galvin,james,1,BLK:02 PLN:04 POS:00,MFV 00775,1.2,3/8/2013 1:49,3/8/2013 1:51,0:02:26,,,,,,1.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,13,MFV 00775,BLK:02 PLN:04 POS:00,251.20,
T59-B01,WT-166:S006,galvin,james,3,BLK:02 PLN:24 POS:00,MFV 00887,249.20,2/21/2013 14:15,2/21/2013 16:21,2:05:31,,,,,0.00,249.20,T64-B02,WT-165:S007,galvin,james,8,BLK:02 PLN:24 POS:00,MFV 00887,1.3,3/8/2013 1:59,3/8/2013 2:01,0:02:03,,,,,,1.30,T64-B13,WT163:S066,Larry,Brent,9,BLK:02 PLN:24 POS:00,MFV 00887,0.5,5/22/2014 15:24,5/22/2014 15:30,0:06:38,,"1""",,,0.00,0.50,,,,,,,,0.00,,,,,,,,0.00,0.00,,14,MFV 00887,BLK:02 PLN:24 POS:00,251.00,
T59-B01,WT-166:S006,galvin,james,11,BLK:02 PLN:00 POS:00,MFV 00758,250.80,2/21/2013 14:21,2/21/2013 16:22,2:00:42,,,,,0.00,250.80,T64-B02,WT-165:S007,galvin,james,1,BLK:02 PLN:00 POS:00,MFV 00758,0.8,3/8/2013 1:41,3/8/2013 1:43,0:02:08,,,,,,0.80,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,15,MFV 00758,BLK:02 PLN:00 POS:00,251.60,
T59-B01,WT-166:S006,galvin,james,1,BLK:02 PLN:28 POS:00,MFV 01400,212.30,2/21/2013 14:30,2/21/2013 16:38,2:08:11,,,,,,212.30,T64-B02,WT-165:S007,galvin,james,8,BLK:02 PLN:28 POS:00,MFV 01400,2.5,3/8/2013 2:06,3/8/2013 2:12,0:06:10,,,,,,2.50,T64-B13,WT163:S066,Larry,Brent,4,BLK:02 PLN:28 POS:00,MFV 01400,0.6,5/22/2014 15:16,5/22/2014 15:19,0:03:32,,"1/4""",,,0.00,0.60,,,,,,,,0.00,,,,,,,,0.00,0.00,,16,MFV 01400,BLK:02 PLN:28 POS:00,215.40,
